treated,donor_code,weight
7,28,3.0018193808195766e-5
7,29,4.557992531574267e-6
7,30,4.7353398038350956e-06
7,31,0.024100358385334933
8,1,0.07269801923265563
8,2,1.886340513909643e-9
8,3,4.15444592599476e-9
8,4,5.8741450915362434e-9
8,5,3.927116231944491e-9
8,6,0.4758333791182262
8,7,0.45145663485044935
8,9,1.9674657381272263e-8
8,10,2.406139698317364e-9
8,12,3.7068411979467296e-9
8,13,1.3266663499260943e-9
8,14,3.458186581981717e-9
8,15,3.616714840176765e-9
8,16,2.6707348774477025e-9
8,17,3.2845804129903996e-9
8,18,2.386798378649074e-9
8,19,1.2181975941359395e-9
8,20,1.871724539546286e-9
8,21,1.5028906008445234e-9
8,22,3.796407277663393e-9
8,24,6.389306155591922e-9
8,25,2.111180107674672e-9
8,26,1.0212147697149978e-5
8,27,1.0048913741068902e-8
8,28,1.576087164824105e-8
8,29,1.6340902278486622e-6
8,30,6.686353353657664e-9
8,31,1.2801623157128602e-8
9,1,0.4927653052872983
9,2,6.821554163141646e-10
9,3,1.1127250122423523e-9
9,4,6.931914753360663e-10
9,5,7.087011263336511e-10
9,6,9.157685323120177e-10
9,7,7.5147276879611e-10
9,8,5.064207976232188e-10
9,10,0.5072345581887027
9,12,1.4343507785371884e-9
9,13,8.871738307834605e-8
9,14,3.52235819838872e-9
9,15,1.1082678999999306e-9
9,16,1.1937362759186789e-9
9,17,4.9209059002753945e-9
9,18,1.2750662585540401e-8
9,19,9.35047703023198e-10
9,20,2.021027361810422e-9
9,21,1.2005035836068743e-9
9,22,4.814489505121196e-9
9,24,1.1444362284690522e-9
9,25,1.4796098014163536e-9
9,26,1.5123935711643386e-9
9,27,1.4423303745093971e-9
9,28,6.719162877754542e-10
9,29,6.421806222085435e-10
9,30,7.819405120352091e-10
9,31,8.596876094999729e-10
10,1,2.9903578950796474e-10
10,2,0.49587088141386926
10,3,0.25234867435645275
10,4,1.2167077788642952e-7
10,5,2.992246743462035e-7
10,6,1.8931897286863543e-5
10,7,9.7492413369594e-7
10,8,5.153316348517354e-4
10,9,0.05444578871160314
10,12,2.2774104832328727e-7
10,13,0.19679400212768564
10,14,1.4835204431022013e-7
10,15,5.623242731563267e-7
10,16,1.3562678874625572e-7
10,17,8.388730954466566e-8
10,18,1.809350897957781e-7
10,19,2.519540745864353e-6
10,20,1.2221495402670875e-7
10,21,2.69906878334669e-7
10,22,9.757585759240776e-8
10,24,7.731781465799607e-8
10,25,6.268219262661469e-8
10,26,3.192333710617888e-8
10,27,1.0842929851905911e-7
10,28,9.3300805366046e-8
10,29,8.320606009596361e-8
10,30,9.602992485791407e-8
10,31,9.274265397803973e-8
12,1,2.2123464474198067e-5
12,2,1.873261601135492e-5
12,3,1.305292708518042e-4
12,4,0.2320226511971291
12,5,1.0804299214520077e-5
12,6,2.6856968101204252e-5
12,7,6.652973063469431e-6
12,8,0.041492341829181094
12,9,1.1227356504867801e-5
12,10,2.93436833186009e-5
12,13,6.73261071701259e-5
12,14,0.20533592185528776
12,15,2.488641678822644e-5
12,16,0.15750956253301715
12,17,1.8801680979656167e-5
12,18,1.4516534247529579e-4
12,19,4.5447244804715074e-5
12,20,3.121906918708084e-4
12,21,0.17855265358568312
12,22,7.6950836749835e-5
12,24,0.18203690851517854
12,25,8.471242162126733e-5
