d_within,d_between,d_total
-0.06253384198455418,-0.03726396898706279,-0.09979781097161697
-0.0659837936255036,-0.04144940267192039,-0.10743319629742401
-0.05541708792711512,-0.039703506303131214,-0.09512059423024635
-0.059031954926142945,-0.04320324250721519,-0.10223519743335813
-0.058073802447435124,-0.03760103589146641,-0.09567483833890153
-0.06245753125954613,-0.033627786358944534,-0.09608531761849065
-0.05851478984245406,-0.029587483199330605,-0.08810227304178467
-0.061967478898907004,-0.030814360535000643,-0.09278183943390764
-0.05955572201588268,-0.04729673360778171,-0.10685245562366438
-0.06349332864432576,-0.028426078602592535,-0.09191940724691829
-0.061921067468827244,-0.032810299387793965,-0.0947313668566212
-0.06010865056986377,-0.04358497705144771,-0.10369362762131148
-0.06289467727946156,-0.04567803846131623,-0.10857271574077779
-0.06484616706306415,-0.026450020981438272,-0.09129618804450242
-0.05879837007392634,-0.039685802319213426,-0.09848417239313978
-0.05806191646247201,-0.03484331393757494,-0.09290523040004696
-0.06542412347420169,-0.022838247632619442,-0.08826237110682114
-0.06674883198728815,-0.03360145674697465,-0.1003502887342628
-0.0636619309833265,-0.03184085994012388,-0.09550279092345038
-0.059676526033656634,-0.02863690456928683,-0.08831343060294347
-0.057914870495836136,-0.038817935907466954,-0.09673280640330309
-0.05758357607861656,-0.03671847488404859,-0.09430205096266517
-0.06410232334000965,-0.032234015158603205,-0.09633633849861285
-0.05554904042383023,-0.03143885328207056,-0.08698789370590078
-0.06146411905012894,-0.03420898901072782,-0.09567310806085674
-0.06003841970494183,-0.04056609708822929,-0.1006045167931711
-0.06004966077517846,-0.028079308970426403,-0.08812896974560488
-0.06948118839795517,-0.0308424299627709,-0.10032361836072605
-0.06393636633986088,-0.03644498023888157,-0.10038134657874245
-0.06327203132315404,-0.02946588301243655,-0.09273791433559059
-0.05777145379804367,-0.03408882853781798,-0.09186028233586166
-0.062184305622455284,-0.0337402268027196,-0.09592453242517486
-0.06466694729526168,-0.03128662589940501,-0.09595357319466669
-0.06346267679995102,-0.035194388387005525,-0.09865706518695655
-0.06305395710335573,-0.03243822639099558,-0.09549218349435132
-0.0679129847433057,-0.027448822366592848,-0.09536180710989854
-0.06061261329466491,-0.03287730398534254,-0.09348991728000745
-0.07008244709030911,-0.02755768061242049,-0.09764012770272962
-0.059818445637494395,-0.030742620192861243,-0.09056106583035564
-0.06387629952134836,-0.03704537587250868,-0.10092167539385705
-0.05951624793251408,-0.03679592159219765,-0.09631216952471172
-0.061630143125103544,-0.03744307704474349,-0.09907322016984704
-0.06706797765332034,-0.021977245716115652,-0.08904522336943599
-0.060758846682692456,-0.038507915336652584,-0.09926676201934503
-0.06403006574390548,-0.032908291531517336,-0.09693835727542283
-0.06002190179223759,-0.0418491987442673,-0.1018711005365049
-0.055680815863575144,-0.04096038073894623,-0.09664119660252138
-0.05793555363423636,-0.038297475343923554,-0.0962330289781599
-0.06285632866589336,-0.04034687732990404,-0.10320320599579741
